road_id ROAD_ID
name NAME
intersecti INT_FROM
INTERSE_01 INT_TO
osm_id OSM_ID
tdg_id UUID
functional FUNCCLASS
path_id PATH_ID
speed_limi SPEED
one_way_ca ONEWAYCAR
one_way ONEWAYBIKE
width_ft WIDTH_FT
ft_bike_in FT_BIKEFAC
ft_bike_01 FT_FACWDTH
tf_bike_in TF_BIKEFAC
tf_bike_01 TF_FACWDTH
ft_lanes FT_LANES
tf_lanes TF_LANES
ft_cross_l FT_XLANES
tf_cross_l TF_XLANES
twltl_cros TWLTL
ft_park FT_PARK
tf_park TF_PARK
ft_seg_str FT_STRSSEG
ft_int_str FT_STRSINT
tf_seg_str TF_STRSSEG
tf_int_str TF_STRSINT
xwalk XWALK
